table,original_name,import,ossl_name,comment
ssl_refdata_all,uid,,,
ssl_refdata_all,WHRCID,,,
ssl_refdata_all,biogeoID,,,
ssl_refdata_all,domainID,,,
ssl_refdata_all,siteID,,,
ssl_refdata_all,pitNamedLocation,,,
ssl_refdata_all,pitID,,,
ssl_refdata_all,horizonID,,,
ssl_refdata_all,horizonName,,,
ssl_refdata_all,biogeoHorizonProportion,,,
ssl_refdata_all,biogeoSampleType,,,
ssl_refdata_all,setDate,,,
ssl_refdata_all,collectDate,,,
ssl_refdata_all,laboratoryName,,,
ssl_refdata_all,labProjID,,,
ssl_refdata_all,biogeoTopDepth,,,
ssl_refdata_all,biogeoBottomDepth,,,
ssl_refdata_all,biogeoCenterDepth,,,
ssl_refdata_all,remarks,,,
ssl_refdata_all,carbonTot,,,
ssl_refdata_all,nitrogenTot,,,
ssl_refdata_all,sulfurTot,,,
ssl_refdata_all,estimatedOC,,,
ssl_refdata_all,finalOC,,,
ssl_refdata_all,airDryOvenDry,,,
ssl_refdata_all,alMjelm,,,
ssl_refdata_all,caMjelm,,,
ssl_refdata_all,feMjelm,,,
ssl_refdata_all,kMjelm,,,
ssl_refdata_all,mgMjelm,,,
ssl_refdata_all,mnMjelm,,,
ssl_refdata_all,naMjelm,,,
ssl_refdata_all,pMjelm,,,
ssl_refdata_all,siMjelm,,,
ssl_refdata_all,srMjelm,,,
ssl_refdata_all,tiMjelm,,,
ssl_refdata_all,zrMjelm,,,
ssl_refdata_all,phCacl2,,,
ssl_refdata_all,phH2o,,,
ssl_refdata_all,ec12pre,,,
ssl_refdata_all,gypsumConc,,,
ssl_refdata_all,caco3Conc,,,
ssl_refdata_all,caNh4d,,,
ssl_refdata_all,kNh4d,,,
ssl_refdata_all,mgNh4d,,,
ssl_refdata_all,naNh4d,,,
ssl_refdata_all,cecdNh4,,,
ssl_refdata_all,alSatCecd33,,,
ssl_refdata_all,baseSumCecd10,,,
ssl_refdata_all,bsesatCecd10,,,
ssl_refdata_all,ececCecd33,,,
ssl_refdata_all,alKcl,,,
ssl_refdata_all,feKcl,,,
ssl_refdata_all,mnKcl,,,
ssl_refdata_all,bSatx,,,
ssl_refdata_all,brSatx,,,
ssl_refdata_all,caSatx,,,
ssl_refdata_all,clSatx,,,
ssl_refdata_all,co3Satx,,,
ssl_refdata_all,ecSatp,,,
ssl_refdata_all,flSatx,,,
ssl_refdata_all,waterSatx,,,
ssl_refdata_all,hco3Sx,,,
ssl_refdata_all,kSatx,,,
ssl_refdata_all,mgSatx,,,
ssl_refdata_all,naSatx,,,
ssl_refdata_all,no2Satx,,,
ssl_refdata_all,no3Satx,,,
ssl_refdata_all,pSatx,,,
ssl_refdata_all,phSp,,,
ssl_refdata_all,resist,,,
ssl_refdata_all,so4Satx,,,
ssl_refdata_all,coarseFrag2To5,,,
ssl_refdata_all,coarseFrag5To20,,,
ssl_refdata_all,sandTotal,,,
ssl_refdata_all,siltTotal,,,
ssl_refdata_all,clayTotal,,,
ssl_refdata_all,carbonateClay,,,
ssl_refdata_all,clayFineContent,,,
ssl_refdata_all,siltFineContent,,,
ssl_refdata_all,siltCoarseContent,,,
ssl_refdata_all,sandVeryFineContent,,,
ssl_refdata_all,sandFineContent,,,
ssl_refdata_all,sandMediumContent,,,
ssl_refdata_all,sandCoarseContent,,,
ssl_refdata_all,sandVeryCoarseContent,,,
ssl_refdata_all,bulkDensID,,,
ssl_refdata_all,bulkDensCenterDepth,,,
ssl_refdata_all,bulkDensTopDepth,,,
ssl_refdata_all,bulkDensBottomDepth,,,
ssl_refdata_all,bulkDensHorizonProportion,,,
ssl_refdata_all,bulkDensSampleType,,,
ssl_refdata_all,bulkDensExclCoarseFrag,,,
