table,original_name,import,original_unit,comment,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
SSL_GEOCRADLE_1.csv,id.layer_local_c,,,,,,,,
SSL_GEOCRADLE_1.csv,Sand_Fraction,,,,,,,,
SSL_GEOCRADLE_1.csv,Clay_Fraction,,,,,,,,
SSL_GEOCRADLE_1.csv,Silt_Fraction,,,,,,,,
SSL_GEOCRADLE_1.csv,USDA_texture,,,,,,,,
SSL_GEOCRADLE_1.csv,OC,,,,,,,,
SSL_GEOCRADLE_1.csv,OM,,,,,,,,
SSL_GEOCRADLE_1.csv,Soil_type_extended_WRB,,,,,,,,
SSL_GEOCRADLE_1.csv,Soil_type_USDA,,,,,,,,
SSL_GEOCRADLE_1.csv,Soil_extended_WRB,,,,,,,,
SSL_GEOCRADLE_1.csv,Soil_type_WRB_description,,,,,,,,
SSL_GEOCRADLE_1.csv,CaCO3,,,,,,,,
SSL_GEOCRADLE_1.csv,CEC,,,,,,,,
SSL_GEOCRADLE_1.csv,LOI,,,,,,,,
SSL_GEOCRADLE_1.csv,pH_H2O,,,,,,,,
SSL_GEOCRADLE_1.csv,pH_KCl,,,,,,,,
SSL_GEOCRADLE_1.csv,pH_CaCl2,,,,,,,,
SSL_GEOCRADLE_1.csv,EC_muS,,,,,,,,
SSL_GEOCRADLE_1.csv,NO3,,,,,,,,
